rank,run_id,track,rank_status,budget_tier,candidate_count,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,partial_candidate_targets,metric_unavailable_targets,artifact_path
,server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.001482,71,1,64,6,6,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed116_120/predictions/protenix-v2/T1201O
,server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.001461,71,1,64,6,6,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed121_125/predictions/protenix-v2/T1201O
,server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed106_110/predictions/protenix-v2/T2206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed111_115/predictions/protenix-v2/T2206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed116_120/predictions/protenix-v2/T2206O
,server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,1,65,5,5,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed121_125/predictions/protenix-v2/T2206
,server_v2_attack_nofail_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_oligo_recovery_nofail_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_oligo_recovery_nofail_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_antibody_fv_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
