category,rank,group,group_type,eligible_target_count,submitted_target_count,missing_target_count,mean_fixed_score,mean_submitted_score,best_score,primary_metric
prot_domains,110,138,all,71,3,68,0.009615,0.227567,0.373000,GDT_TS
prot_domains,111,281,all,71,1,70,0.008180,0.580800,0.580800,GDT_TS
prot_domains,112,355,all,71,1,70,0.008082,0.573800,0.573800,GDT_TS
prot_oligo,1,051,all,104,104,0,0.606500,0.606500,0.977000,QSglob
prot_oligo,2,345,all,104,104,0,0.605817,0.605817,0.977000,QSglob
prot_oligo,3,456s,all,104,102,2,0.582615,0.594039,0.972000,QSglob
prot_oligo,4,052s,all,104,102,2,0.581712,0.593118,0.972000,QSglob
prot_oligo,5,022,all,104,103,1,0.581125,0.586767,0.972000,QSglob
prot_oligo,6,294,all,104,103,1,0.577260,0.582864,0.971000,QSglob
prot_oligo,7,110s,all,104,104,0,0.543327,0.543327,0.972000,QSglob
prot_oligo,8,462,all,104,104,0,0.542308,0.542308,0.972000,QSglob
prot_oligo,9,059,all,104,104,0,0.541163,0.541163,0.970000,QSglob
prot_oligo,10,028s,all,104,104,0,0.537240,0.537240,0.971000,QSglob
prot_oligo,11,147s,all,104,104,0,0.531269,0.531269,0.972000,QSglob
prot_oligo,12,241,all,104,103,1,0.529000,0.534136,0.971000,QSglob
prot_oligo,13,274,all,104,94,10,0.522567,0.578160,0.967000,QSglob
prot_oligo,14,221,all,104,103,1,0.521596,0.526660,0.970000,QSglob
prot_oligo,15,419,all,104,103,1,0.516308,0.521320,0.968000,QSglob
prot_oligo,16,494,all,104,93,11,0.510952,0.571387,0.967000,QSglob
prot_oligo,17,262,all,104,103,1,0.505288,0.510194,0.968000,QSglob
prot_oligo,18,304s,all,104,101,3,0.504221,0.519198,0.971000,QSglob
prot_oligo,19,312s,all,104,100,4,0.504221,0.524390,0.970000,QSglob
prot_oligo,20,148s,all,104,101,3,0.503625,0.518584,0.968000,QSglob
prot_oligo,21,164,all,104,103,1,0.501971,0.506845,0.973000,QSglob
prot_oligo,22,286,all,104,103,1,0.498837,0.503680,0.969000,QSglob
prot_oligo,23,163s,all,104,103,1,0.489000,0.493748,0.974000,QSglob
prot_oligo,24,388s,all,104,100,4,0.487971,0.507490,0.969000,QSglob
prot_oligo,25,284s,all,104,101,3,0.487019,0.501485,0.971000,QSglob
prot_oligo,26,015,all,104,98,6,0.485962,0.515714,0.969000,QSglob
prot_oligo,27,264,all,104,100,4,0.485481,0.504900,0.967000,QSglob
prot_oligo,28,272,all,104,101,3,0.482740,0.497079,0.966000,QSglob
prot_oligo,29,139,all,104,102,2,0.481298,0.490735,0.970000,QSglob
prot_oligo,30,075s,all,104,101,3,0.481231,0.495525,0.971000,QSglob
prot_oligo,31,475s,all,104,99,5,0.475567,0.499586,0.969000,QSglob
prot_oligo,32,122s,all,104,98,6,0.471615,0.500490,0.971000,QSglob
prot_oligo,33,014,all,104,102,2,0.464058,0.473157,0.970000,QSglob
prot_oligo,34,301,all,104,103,1,0.459087,0.463544,0.971000,QSglob
prot_oligo,35,298,all,104,96,8,0.456337,0.494365,0.973000,QSglob
prot_oligo,36,267s,all,104,92,12,0.446971,0.505272,0.972000,QSglob
prot_oligo,37,393,all,104,92,12,0.438788,0.496022,0.967000,QSglob
prot_oligo,38,322,all,104,85,19,0.420462,0.514447,0.971000,QSglob
prot_oligo,39,465,all,104,76,28,0.420279,0.575118,0.968000,QSglob
prot_oligo,40,375s,all,104,92,12,0.416663,0.471011,0.970000,QSglob
prot_oligo,41,208s,all,104,93,11,0.416240,0.465473,0.972000,QSglob
prot_oligo,42,091,all,104,75,29,0.413923,0.573973,0.973000,QSglob
prot_oligo,43,079s,all,104,92,12,0.409462,0.462870,0.974000,QSglob
prot_oligo,44,293,all,104,92,12,0.408433,0.461707,0.974000,QSglob
prot_oligo,45,196,all,104,95,9,0.397596,0.435263,0.973000,QSglob
prot_oligo,46,331s,all,104,70,34,0.390577,0.580286,0.977000,QSglob
prot_oligo,47,319s,all,104,70,34,0.390308,0.579886,0.975000,QSglob
prot_oligo,48,369,all,104,84,20,0.386933,0.479060,0.973000,QSglob
prot_oligo,49,425s,all,104,70,34,0.381010,0.566071,0.972000,QSglob
prot_oligo,50,219s,all,104,80,24,0.378173,0.491625,0.968000,QSglob
prot_oligo,51,287,all,104,73,31,0.367490,0.523548,0.970000,QSglob
prot_oligo,52,204,all,104,58,46,0.353096,0.633138,0.967000,QSglob
prot_oligo,53,145s,all,104,72,32,0.352567,0.509264,0.973000,QSglob
prot_oligo,54,311,all,104,83,21,0.352433,0.441602,0.972000,QSglob
prot_oligo,55,198s,all,104,72,32,0.346231,0.500111,0.973000,QSglob
prot_oligo,56,450s,all,104,77,27,0.343538,0.464000,0.972000,QSglob
prot_oligo,57,290,all,104,57,47,0.330750,0.603474,0.970000,QSglob
prot_oligo,58,423s,all,104,74,30,0.328740,0.462014,0.969000,QSglob
prot_oligo,59,323,all,104,78,26,0.326654,0.435538,0.968000,QSglob
prot_oligo,60,085,all,104,58,46,0.307106,0.550672,0.965000,QSglob
prot_oligo,61,489,all,104,58,46,0.305952,0.548603,0.966000,QSglob
prot_oligo,62,171,all,104,57,47,0.300163,0.547667,0.971000,QSglob
prot_oligo,63,261,all,104,94,10,0.292712,0.323851,0.952000,QSglob
prot_oligo,64,167,all,104,70,34,0.289692,0.430400,0.972000,QSglob
prot_oligo,65,023,all,104,64,40,0.275712,0.448031,0.968000,QSglob
prot_oligo,66,187,all,104,69,35,0.260942,0.393304,0.970000,QSglob
prot_oligo,67,040,all,104,75,29,0.248981,0.345253,0.959000,QSglob
prot_oligo,68,380,all,104,51,53,0.239375,0.488137,0.969000,QSglob
prot_oligo,69,031,all,104,41,63,0.222808,0.565171,0.968000,QSglob
prot_oligo,70,191,all,104,52,52,0.220077,0.440154,0.965000,QSglob
prot_oligo,71,218,all,104,42,62,0.215288,0.533095,0.959000,QSglob
prot_oligo,72,397,all,104,33,71,0.182115,0.573939,0.970000,QSglob
prot_oligo,73,117,all,104,30,74,0.145981,0.506067,0.887000,QSglob
prot_oligo,74,468,all,104,28,76,0.141683,0.526250,0.968000,QSglob
prot_oligo,75,300s,all,104,45,59,0.091029,0.210378,0.880000,QSglob
prot_oligo,76,114s,all,104,44,60,0.086231,0.203818,0.880000,QSglob
prot_oligo,77,337s,all,104,45,59,0.085221,0.196956,0.879000,QSglob
prot_oligo,78,008,all,104,13,91,0.060971,0.487769,0.836000,QSglob
